year,scenario,carbon_credit_policy_index,cooling_credit_policy_index,ocean_heat_load_index,sea_surface_temperature_risk_index,el_nino_heat_stacking_index,marine_heatwave_risk_index,coral_bleaching_risk_index,wbgt_land_heat_risk_index,food_water_stress_index,urban_heat_load_index,soil_moisture_recovery_index,forest_evapotranspiration_recovery_index,water_cycle_recovery_index,ocean_circulation_support_index,natural_cooling_function_index,cooling_credit_intervention_index
2015,Carbon Credit Baseline,42.0,8.0,40.29,47.03,47.96,36.4,32.23,40.3,55.27,38.65,33.84,37.29,32.82,31.74,34.14,9.14
2016,Carbon Credit Baseline,43.1,8.2,44.84,54.37,51.83,42.49,38.08,43.72,56.92,40.97,33.49,37.02,32.56,31.49,33.86,9.37
2017,Carbon Credit Baseline,44.2,8.4,37.39,37.16,44.51,29.38,25.31,37.98,54.63,38.81,33.13,36.76,32.3,31.24,33.57,9.6
2018,Carbon Credit Baseline,45.3,8.6,38.94,38.37,45.58,30.67,26.5,39.11,55.3,40.01,32.78,36.49,32.04,30.99,33.28,9.83
2019,Carbon Credit Baseline,46.4,8.8,44.24,47.25,50.15,37.95,33.51,43.1,57.19,42.61,32.43,36.22,31.78,30.74,33.0,10.06
2020,Carbon Credit Baseline,47.5,9.0,42.03,40.79,47.72,33.24,28.89,41.37,56.63,42.41,32.07,35.96,31.53,30.49,32.71,10.29
2021,Carbon Credit Baseline,48.6,9.2,43.58,41.99,48.8,34.52,30.08,42.5,57.29,43.61,31.72,35.69,31.27,30.24,32.43,10.53
2022,Carbon Credit Baseline,49.7,9.4,45.13,43.2,49.87,35.81,31.28,43.63,57.96,44.81,31.37,35.42,31.01,29.99,32.14,10.76
2023,Carbon Credit Baseline,50.8,9.6,53.43,58.23,57.24,47.89,42.95,49.91,60.84,48.54,31.01,35.16,30.75,29.74,31.86,10.99
2024,Carbon Credit Baseline,51.9,9.8,57.23,64.04,60.42,52.78,47.63,52.76,62.25,50.58,30.66,34.89,30.49,29.49,31.57,11.22
